epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7201,2.23551,5.55244,1.14595,0.86523,0.15385,0.10285,0.04443,1.71588,4.63073,1.00662,0.00014443,0.00014443,0.00014443
2,19.6506,2.06121,3.78718,1.08352,0.7448,0.27692,0.27722,0.16172,1.84655,4.40075,1.03789,0.00029862,0.00029862,0.00029862
3,28.4176,1.92557,2.61123,1.02751,0.1533,0.48496,0.20757,0.11251,1.98486,3.47949,1.13065,0.00045141,0.00045141,0.00045141
4,37.069,1.94103,2.45278,1.06397,0.50414,0.31493,0.29897,0.15621,1.74468,13.4667,1.06816,0.000602801,0.000602801,0.000602801
5,45.7386,1.98909,2.14553,1.11438,0.01787,0.68513,0.08652,0.02497,1.89858,39.8816,1.21097,0.000752791,0.000752791,0.000752791
6,54.4251,2.04298,2.04862,1.12056,0.03253,0.36026,0.04204,0.01923,1.88536,18.2749,1.23809,0.000901382,0.000901382,0.000901382
7,63.0887,2.0678,1.97822,1.14678,0.77366,0.25859,0.41702,0.20723,1.91601,2.99123,1.2556,0.00104857,0.00104857,0.00104857
8,71.881,2.06418,2.06907,1.12777,0.63483,0.21358,0.24047,0.14223,1.93861,5.0641,1.16062,0.001076,0.001076,0.001076
9,80.6757,2.11401,2.31109,1.15174,0.23171,0.36009,0.33439,0.17817,2.00095,2.32579,1.21754,0.001071,0.001071,0.001071
10,89.3797,1.98924,1.96968,1.06467,0.23125,0.22436,0.20279,0.10546,2.0647,7.28108,1.35793,0.001066,0.001066,0.001066
11,98.1234,1.90858,1.78978,1.07946,0.06528,0.17821,0.03722,0.02556,2.03185,23.5795,1.43314,0.00106101,0.00106101,0.00106101
12,106.861,1.99093,1.88368,1.12403,0.50706,0.25383,0.15504,0.07822,1.92718,10.2919,1.29707,0.00105601,0.00105601,0.00105601
13,115.552,1.90982,1.63899,1.1091,0.79389,0.2495,0.32251,0.1343,2.33932,2.79874,1.37774,0.00105101,0.00105101,0.00105101
14,124.269,1.91804,1.61883,1.09554,0.56844,0.29779,0.26745,0.11818,2.13991,2.52339,1.2746,0.00104601,0.00104601,0.00104601
15,133.031,1.93382,1.51781,1.0798,0.89616,0.27692,0.37821,0.14223,2.08227,2.39159,1.20384,0.00104101,0.00104101,0.00104101
16,141.805,1.94252,1.45362,1.04309,0.58088,0.48603,0.48569,0.19053,2.03963,1.98835,1.17268,0.00103601,0.00103601,0.00103601
17,150.557,1.94816,1.44795,1.03883,0.52641,0.44769,0.49429,0.23046,2.25071,1.84904,1.19365,0.00103101,0.00103101,0.00103101
18,159.432,1.77432,1.37647,1.04201,0.79863,0.31154,0.38886,0.18722,2.01608,2.41942,1.21346,0.00102601,0.00102601,0.00102601
19,168.287,1.83404,1.39837,1.07904,0.81308,0.31154,0.44786,0.21518,1.93532,1.96856,1.20053,0.00102101,0.00102101,0.00102101
20,177.039,1.90345,1.41284,1.08048,0.71468,0.42439,0.52281,0.26667,1.78793,1.69943,1.13028,0.00101601,0.00101601,0.00101601
21,185.862,1.9046,1.33058,1.06154,0.78419,0.3885,0.57687,0.25735,1.85064,1.88177,1.12266,0.00101101,0.00101101,0.00101101
22,194.789,1.85597,1.39596,1.0393,0.4255,0.60974,0.54999,0.27731,1.84739,2.234,1.15745,0.00100601,0.00100601,0.00100601
23,203.639,1.8387,1.37704,1.04459,0.62783,0.58406,0.58851,0.24595,2.05944,2.17115,1.20581,0.00100101,0.00100101,0.00100101
24,212.396,1.79466,1.27913,1.05424,0.28091,0.59693,0.53531,0.25798,1.92777,2.288,1.24805,0.000996011,0.000996011,0.000996011
25,221.137,1.80686,1.22873,1.0302,0.50063,0.58369,0.55625,0.23199,1.85819,1.87562,1.19437,0.000991012,0.000991012,0.000991012
26,229.899,1.7496,1.23149,1.0524,0.69365,0.40926,0.3839,0.16284,2.14715,2.23737,1.23255,0.000986013,0.000986013,0.000986013
27,238.728,1.73919,1.21675,1.03367,0.73958,0.32424,0.40419,0.20457,2.00943,2.2796,1.26428,0.000981013,0.000981013,0.000981013
28,247.533,1.74179,1.17973,1.02762,0.7095,0.39811,0.47311,0.25291,1.76014,1.76901,1.25247,0.000976013,0.000976013,0.000976013
29,256.284,1.76887,1.17633,1.06083,0.8083,0.44213,0.55917,0.2664,1.68093,1.51354,1.11686,0.000971014,0.000971014,0.000971014
