epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5293,2.05768,17.4809,1.05243,0.05475,0.01758,0.0166,0.00919,1.32762,3.63297,0.744,7.777e-05,7.777e-05,7.777e-05
2,13.3282,1.98961,6.61276,1.08442,0.67505,0.01333,0.03096,0.01559,1.34432,3.0178,0.75313,0.0001659,0.0001659,0.0001659
3,19.2087,2.29958,5.71594,1.05167,0.58541,0.07262,0.05097,0.02584,1.5081,2.78241,0.8632,0.00025323,0.00025323,0.00025323
4,25.0529,2.3615,4.32979,1.25138,0.13093,0.12144,0.06229,0.02235,1.66782,10.893,0.89382,0.00033976,0.00033976,0.00033976
5,30.8195,1.90255,3.11909,1.02936,0.12923,0.08526,0.06944,0.02831,1.53537,5.9817,0.83546,0.000425491,0.000425491,0.000425491
6,36.641,2.10054,3.54964,1.17296,0.34713,0.06878,0.04724,0.01863,1.49303,3.48606,0.83044,0.000510421,0.000510421,0.000510421
7,42.3669,1.92803,3.30868,1.14196,0.14744,0.12128,0.06045,0.0236,1.49896,3.02473,0.87592,0.000594552,0.000594552,0.000594552
8,48.0971,1.98357,4.6955,1.03959,0.17873,0.05516,0.05855,0.02601,1.52815,2.63996,0.89911,0.000677882,0.000677882,0.000677882
9,53.8139,1.98666,3.14346,1.11279,0.07883,0.16329,0.05736,0.02102,1.46104,3.32528,0.90366,0.000760413,0.000760413,0.000760413
10,59.5479,2.04747,2.85551,1.11778,0.26109,0.10105,0.04036,0.01363,1.46415,3.51059,0.88642,0.000842144,0.000842144,0.000842144
11,65.2475,1.87412,2.56803,1.11756,0.24067,0.16611,0.03299,0.0129,1.44642,10.3384,0.8722,0.000923074,0.000923074,0.000923074
12,70.9554,2.03319,2.27388,1.06122,0.04176,0.16065,0.03392,0.01435,1.45052,73.0254,0.88074,0.00100321,0.00100321,0.00100321
13,76.6897,2.13215,2.51584,1.05304,0.01872,0.25131,0.02801,0.01282,1.44376,59.8755,0.90379,0.00105101,0.00105101,0.00105101
14,82.3977,1.98828,2.79831,1.09184,0.06683,0.11496,0.0593,0.02278,1.467,10.2852,0.85978,0.00104601,0.00104601,0.00104601
15,88.1042,1.96664,2.66782,1.17705,0.35152,0.15375,0.10485,0.04118,1.46946,4.4539,0.89725,0.00104101,0.00104101,0.00104101
16,93.8887,2.08627,2.88835,1.17947,0.47731,0.08564,0.11365,0.04956,1.41807,3.50343,0.87388,0.00103601,0.00103601,0.00103601
17,99.6998,1.9027,2.30303,1.26192,0.20275,0.13853,0.08636,0.0381,1.40246,2.4479,0.88406,0.00103101,0.00103101,0.00103101
18,105.398,2.11486,3.68941,1.1659,0.32733,0.0596,0.06598,0.03504,1.42172,4.47729,0.89358,0.00102601,0.00102601,0.00102601
19,111.1,2.00281,1.92427,1.11676,0.36253,0.07011,0.09262,0.04601,1.42938,2.48703,0.86614,0.00102101,0.00102101,0.00102101
20,116.812,2.18796,2.69307,1.1015,0.23432,0.13822,0.12157,0.05253,1.38942,9.58814,0.87185,0.00101601,0.00101601,0.00101601
21,122.577,1.83078,2.17825,1.06266,0.30576,0.11219,0.09314,0.04447,1.40257,20.916,0.87404,0.00101101,0.00101101,0.00101101
22,128.3,2.08738,2.43033,1.19155,0.32132,0.14311,0.12946,0.05354,1.45563,9.33284,0.87974,0.00100601,0.00100601,0.00100601
23,134.195,1.84475,1.83285,1.06181,0.469,0.11923,0.10156,0.04507,1.48355,77.8181,0.87867,0.00100101,0.00100101,0.00100101
24,139.898,2.02354,2.27082,1.09343,0.28103,0.12973,0.10433,0.04675,1.41828,173.304,0.87081,0.000996011,0.000996011,0.000996011
25,145.597,1.94579,2.0467,1.03715,0.19129,0.13109,0.07921,0.04356,1.41003,42.0442,0.86918,0.000991012,0.000991012,0.000991012
26,151.326,1.99991,2.03946,1.05991,0.29845,0.16464,0.11994,0.06079,1.40024,6.19109,0.87147,0.000986013,0.000986013,0.000986013
27,157.101,1.96312,2.10317,1.05002,0.27371,0.15579,0.14886,0.06132,1.42277,2.5204,0.8827,0.000981013,0.000981013,0.000981013
28,162.883,2.09678,1.91009,1.09664,0.37553,0.07982,0.07168,0.03374,1.4856,9.26993,0.8691,0.000976013,0.000976013,0.000976013
29,168.604,1.80613,1.59019,1.10676,0.29633,0.15133,0.1032,0.04985,1.47608,6.15017,0.8589,0.000971014,0.000971014,0.000971014
30,174.336,1.78698,2.03188,1.04989,0.35299,0.14935,0.07892,0.03855,1.47497,30.9954,0.83818,0.000966014,0.000966014,0.000966014
31,180.068,1.9034,1.76294,1.05666,0.44081,0.1352,0.10718,0.04487,1.52363,4.35611,0.869,0.000961015,0.000961015,0.000961015
32,185.796,1.90557,1.90295,1.00195,0.58147,0.11156,0.12532,0.05747,1.47995,2.41105,0.89695,0.000956015,0.000956015,0.000956015
33,191.493,1.88012,1.91489,1.03858,0.31418,0.11739,0.14039,0.05542,1.56613,2.09776,0.90453,0.000951016,0.000951016,0.000951016
34,197.182,2.0162,1.91166,1.07175,0.21755,0.13809,0.1397,0.0486,1.55995,2.33455,0.88459,0.000946016,0.000946016,0.000946016
35,202.89,1.74875,1.55088,1.10913,0.37941,0.15619,0.12587,0.04485,1.55088,2.54822,0.92926,0.000941017,0.000941017,0.000941017
36,208.6,1.80787,1.52203,1.094,0.5071,0.12237,0.12249,0.04895,1.52467,2.05095,0.89806,0.000936017,0.000936017,0.000936017
37,214.42,1.81117,1.41418,1.04443,0.20444,0.14478,0.14962,0.06729,1.49949,1.90982,0.86037,0.000931018,0.000931018,0.000931018
38,220.218,1.75351,1.46916,1.13668,0.42308,0.13795,0.12168,0.05192,1.54898,2.66413,0.85113,0.000926018,0.000926018,0.000926018
39,225.931,1.77201,1.37742,1.03612,0.48435,0.14191,0.12668,0.04787,1.53997,2.60471,0.85235,0.000921019,0.000921019,0.000921019
40,231.639,1.9042,1.43135,1.02058,0.37524,0.13142,0.11142,0.04666,1.63017,2.87914,0.88165,0.000916019,0.000916019,0.000916019
41,237.359,1.61016,1.43373,1.0617,0.35295,0.18491,0.12444,0.05319,1.47136,2.59901,0.83625,0.00091102,0.00091102,0.00091102
42,243.1,1.87716,1.84071,0.99558,0.19991,0.19277,0.16721,0.08153,1.42904,1.79001,0.80596,0.00090602,0.00090602,0.00090602
43,248.61,1.87235,1.42547,0.99573,0.21833,0.16394,0.19157,0.0923,1.40696,1.7781,0.7912,0.000901021,0.000901021,0.000901021
44,254.025,1.69115,1.29282,1.01089,0.557,0.1691,0.20992,0.0972,1.37704,1.6853,0.781,0.000896022,0.000896022,0.000896022
45,259.434,1.67276,1.37118,1.07793,0.60092,0.18674,0.24369,0.11099,1.32885,1.67105,0.77676,0.000891022,0.000891022,0.000891022
46,264.86,1.57158,1.16867,0.99068,0.54563,0.18512,0.22831,0.09951,1.35699,1.7376,0.78033,0.000886023,0.000886023,0.000886023
47,270.192,1.44012,1.18263,0.98041,0.58204,0.13024,0.17023,0.08364,1.41627,2.07673,0.80288,0.000881023,0.000881023,0.000881023
48,275.504,1.57241,1.2223,0.97554,0.54509,0.13964,0.17404,0.09069,1.37576,2.06053,0.79023,0.000876024,0.000876024,0.000876024
49,280.815,1.48879,1.13293,0.95088,0.40149,0.18976,0.23299,0.11242,1.35213,1.7752,0.78251,0.000871024,0.000871024,0.000871024
50,286.253,1.62892,1.28353,0.973,0.62347,0.14774,0.21682,0.10998,1.3202,1.74906,0.77459,0.000866025,0.000866025,0.000866025
51,291.571,1.49963,1.10876,0.9748,0.61745,0.1452,0.2018,0.10303,1.3113,1.93636,0.77772,0.000861025,0.000861025,0.000861025
52,296.907,1.42088,1.14675,0.96496,0.54664,0.15218,0.19545,0.09876,1.33821,2.27061,0.78875,0.000856026,0.000856026,0.000856026
53,302.237,1.46217,1.08876,1.00024,0.45931,0.16411,0.19411,0.09514,1.38915,2.08963,0.80002,0.000851026,0.000851026,0.000851026
54,307.563,1.56413,1.13499,0.94017,0.2418,0.21377,0.18905,0.09089,1.40382,1.8331,0.79635,0.000846027,0.000846027,0.000846027
55,312.888,1.5642,1.18331,1.03977,0.24905,0.20042,0.19131,0.0922,1.44234,1.84547,0.8053,0.000841027,0.000841027,0.000841027
56,318.223,1.62518,1.05897,0.97256,0.27093,0.1943,0.19207,0.09488,1.43894,1.89421,0.79996,0.000836027,0.000836027,0.000836027
57,323.567,1.51606,1.15331,0.9887,0.25855,0.15824,0.17769,0.09088,1.38139,1.94592,0.7925,0.000831028,0.000831028,0.000831028
58,328.881,1.45098,1.09258,0.9508,0.46577,0.17462,0.19774,0.09955,1.34478,1.84333,0.77962,0.000826029,0.000826029,0.000826029
59,334.196,1.51125,1.03063,0.97684,0.26305,0.17481,0.19725,0.0966,1.37841,1.89604,0.7829,0.000821029,0.000821029,0.000821029
60,339.521,1.59143,1.17316,0.94197,0.29955,0.19591,0.19718,0.09759,1.38888,2.04427,0.78463,0.00081603,0.00081603,0.00081603
61,344.849,1.51409,1.04047,1.01416,0.50956,0.15853,0.22053,0.11484,1.36619,2.305,0.77918,0.00081103,0.00081103,0.00081103
62,350.245,1.5139,1.15317,0.94278,0.41948,0.17167,0.21844,0.10913,1.33692,2.27056,0.76349,0.000806031,0.000806031,0.000806031
63,355.553,1.5087,1.01652,0.94928,0.67506,0.19776,0.22879,0.10438,1.33557,2.1571,0.75997,0.000801031,0.000801031,0.000801031
64,360.867,1.54095,1.34888,1.03984,0.59819,0.22927,0.23543,0.10274,1.32005,2.14373,0.76366,0.000796032,0.000796032,0.000796032
65,366.225,1.85807,1.27589,0.96136,0.84888,0.14491,0.20803,0.09012,1.35604,2.14251,0.78122,0.000791032,0.000791032,0.000791032
66,371.535,1.39736,1.02082,0.96261,0.50657,0.14834,0.19147,0.08578,1.40529,2.10279,0.79203,0.000786033,0.000786033,0.000786033
67,376.836,1.59655,1.13894,0.92859,0.51878,0.15884,0.17806,0.07722,1.43057,2.08214,0.79214,0.000781033,0.000781033,0.000781033
68,382.178,1.41068,1.03899,0.915,0.4694,0.1843,0.21717,0.09664,1.41004,1.9839,0.79728,0.000776034,0.000776034,0.000776034
69,387.497,1.44883,1.08754,0.94001,0.41605,0.203,0.22321,0.11384,1.34229,1.93534,0.77616,0.000771034,0.000771034,0.000771034
70,392.802,1.50305,1.01622,0.92932,0.54206,0.20681,0.25581,0.11558,1.29653,2.03731,0.77277,0.000766035,0.000766035,0.000766035
71,398.246,1.47839,1.08691,0.96808,0.58748,0.19611,0.26321,0.12114,1.32715,2.13729,0.79981,0.000761035,0.000761035,0.000761035
72,403.639,1.41883,0.95961,0.91501,0.45813,0.19469,0.2576,0.12377,1.30027,2.09883,0.78472,0.000756036,0.000756036,0.000756036
73,409.047,1.45426,1.11889,0.99202,0.58063,0.19258,0.22776,0.10342,1.30325,2.08128,0.78877,0.000751036,0.000751036,0.000751036
74,414.512,1.52181,1.012,0.9632,0.33051,0.17425,0.21636,0.10008,1.30978,2.06361,0.78889,0.000746037,0.000746037,0.000746037
75,419.852,1.45696,1.01163,1.00857,0.55742,0.16433,0.21822,0.10199,1.33801,2.00811,0.79647,0.000741037,0.000741037,0.000741037
76,425.18,1.52171,0.96202,0.8816,0.59689,0.15869,0.21699,0.10169,1.34492,2.07758,0.7878,0.000736037,0.000736037,0.000736037
77,430.53,1.34556,0.89843,0.89364,0.28726,0.17258,0.19422,0.0967,1.41103,2.23624,0.81345,0.000731038,0.000731038,0.000731038
78,435.852,1.36563,0.98479,0.90936,0.27663,0.16817,0.2069,0.10137,1.40805,2.14657,0.80076,0.000726038,0.000726038,0.000726038
79,441.166,1.30614,0.85288,0.92701,0.27216,0.18329,0.23071,0.10881,1.37519,2.01467,0.77734,0.000721039,0.000721039,0.000721039
80,446.48,1.32893,0.86361,0.92812,0.30141,0.22318,0.23656,0.11741,1.35518,1.9214,0.76698,0.000716039,0.000716039,0.000716039
81,451.807,1.26472,0.8122,0.91665,0.55438,0.1952,0.22365,0.11073,1.3208,1.9735,0.76421,0.00071104,0.00071104,0.00071104
82,457.123,1.41918,0.90742,0.90417,0.58455,0.17045,0.19316,0.10016,1.299,2.17491,0.75555,0.00070604,0.00070604,0.00070604
83,462.438,1.38511,1.03199,0.90934,0.38238,0.18053,0.20087,0.10738,1.30516,2.39701,0.7635,0.000701041,0.000701041,0.000701041
84,467.743,1.32358,0.87903,0.91137,0.34381,0.16329,0.19468,0.0982,1.31032,2.37859,0.75602,0.000696041,0.000696041,0.000696041
85,473.066,1.30494,0.83964,0.92806,0.38237,0.20925,0.21326,0.1057,1.29848,2.2287,0.74495,0.000691042,0.000691042,0.000691042
86,478.394,1.75513,1.48686,0.92214,0.42089,0.21369,0.24318,0.12762,1.29093,2.15088,0.74228,0.000686042,0.000686042,0.000686042
87,483.793,1.28043,0.85808,0.92112,0.48836,0.19874,0.2422,0.11985,1.30424,2.19937,0.74683,0.000681043,0.000681043,0.000681043
88,489.11,1.28045,0.86105,0.97359,0.53405,0.21006,0.25512,0.12397,1.27761,2.11799,0.74349,0.000676043,0.000676043,0.000676043
89,494.425,1.28714,0.84143,0.90907,0.45324,0.21377,0.27515,0.1387,1.27414,2.02883,0.75635,0.000671044,0.000671044,0.000671044
90,499.833,1.25899,0.85323,0.89878,0.64199,0.21531,0.26482,0.13709,1.30412,2.02501,0.76303,0.000666044,0.000666044,0.000666044
91,505.174,1.3481,0.89171,0.96734,0.28523,0.22258,0.21411,0.10726,1.28248,2.04997,0.75257,0.000661045,0.000661045,0.000661045
92,510.508,1.30903,0.83533,0.91243,0.32743,0.20764,0.20175,0.09873,1.27829,2.06434,0.7471,0.000656045,0.000656045,0.000656045
93,515.813,1.29178,0.86652,0.92336,0.49202,0.15842,0.17839,0.08709,1.27878,2.27301,0.75185,0.000651046,0.000651046,0.000651046
94,521.138,1.20066,0.80378,0.9567,0.48628,0.14995,0.17421,0.08814,1.28715,2.37502,0.76246,0.000646046,0.000646046,0.000646046
95,526.478,1.23843,0.7836,0.8807,0.47204,0.15092,0.18417,0.09091,1.30176,2.32747,0.75951,0.000641047,0.000641047,0.000641047
96,531.781,1.27015,0.85334,0.92066,0.46194,0.1542,0.1756,0.08815,1.30416,2.27593,0.75286,0.000636047,0.000636047,0.000636047
97,537.113,1.29617,0.80778,0.883,0.76658,0.13361,0.17172,0.08872,1.31543,2.25858,0.75273,0.000631048,0.000631048,0.000631048
98,543.798,1.22696,0.83835,0.87835,0.88755,0.11759,0.16997,0.0901,1.32865,2.26858,0.76119,0.000626048,0.000626048,0.000626048
99,549.114,1.24517,0.82155,0.92861,0.89536,0.12468,0.16397,0.09288,1.33165,2.37149,0.76478,0.000621049,0.000621049,0.000621049
100,554.453,1.13975,0.71732,0.90048,0.87071,0.14187,0.17155,0.09488,1.34915,2.51058,0.76771,0.000616049,0.000616049,0.000616049
101,559.767,1.16525,0.8135,0.94192,0.8622,0.14381,0.18604,0.1018,1.32752,2.54203,0.76047,0.00061105,0.00061105,0.00061105
102,565.069,1.18939,0.76977,0.93101,0.62722,0.17141,0.20959,0.10489,1.31762,2.4672,0.75537,0.00060605,0.00060605,0.00060605
103,570.398,1.13791,0.82716,0.89879,0.61341,0.1736,0.21002,0.10306,1.32925,2.4677,0.77166,0.000601051,0.000601051,0.000601051
104,575.702,1.22478,0.7243,0.88684,0.57189,0.1771,0.19774,0.09817,1.31562,2.41199,0.76134,0.000596051,0.000596051,0.000596051
105,581.005,1.39185,0.81136,0.89607,0.57678,0.16652,0.19092,0.09603,1.30837,2.40332,0.75556,0.000591052,0.000591052,0.000591052
106,586.562,1.28427,1.08597,0.88563,0.59635,0.1492,0.1962,0.10264,1.29969,2.45854,0.75413,0.000586052,0.000586052,0.000586052
107,592.229,1.22383,0.83835,0.9046,0.79449,0.13443,0.18794,0.10211,1.28733,2.57905,0.75713,0.000581053,0.000581053,0.000581053
108,597.547,1.29751,0.89509,0.83979,0.61868,0.14428,0.20796,0.10778,1.26818,2.59748,0.75289,0.000576053,0.000576053,0.000576053
109,602.858,1.23627,0.85938,0.90656,0.61017,0.17116,0.22734,0.11814,1.25233,2.57083,0.74599,0.000571054,0.000571054,0.000571054
110,608.187,1.20504,0.80118,0.90259,0.57225,0.20486,0.24409,0.13158,1.25493,2.48716,0.75185,0.000566054,0.000566054,0.000566054
111,613.522,1.18757,0.79061,0.86937,0.43804,0.20732,0.24532,0.13778,1.22949,2.4111,0.75104,0.000561055,0.000561055,0.000561055
112,618.846,1.13715,0.81229,0.84589,0.53486,0.24152,0.27226,0.14002,1.20166,2.33784,0.73686,0.000556055,0.000556055,0.000556055
113,624.245,1.30834,0.85638,0.88942,0.69638,0.22898,0.27562,0.13313,1.22141,2.3871,0.73349,0.000551056,0.000551056,0.000551056
114,629.569,1.22321,0.77041,0.87597,0.62496,0.16192,0.24168,0.12748,1.22238,2.4941,0.73427,0.000546057,0.000546057,0.000546057
115,634.881,1.18966,0.78664,0.88987,0.80507,0.1473,0.20687,0.11519,1.22019,2.6121,0.7446,0.000541057,0.000541057,0.000541057
116,640.192,1.34147,0.83558,0.8372,0.83244,0.16288,0.21833,0.1096,1.22402,2.53262,0.74573,0.000536058,0.000536058,0.000536058
